timestamp,source,log_message,target_label,complexity,session_length,referrer_url,browser_fingerprint,utm_source,test_column
08-04-2025 19:57,ThirdPartyAPI,Multiple bad login attempts detected on user 8538 account,Security Alert,bert,194,https://example.com,9T7xyspZ4xKHbiwU,referral,junk_data
01-04-2025 01:43,ThirdPartyAPI,File data_3847.csv uploaded successfully by user User175.,System Notification,regex,157,https://google.com,uCBMZ4KTDWjd5uIt,organic,junk_data
05-01-2025 09:41,ModernCRM,Backup completed successfully.,System Notification,regex,150,https://twitter.com,APIgz0gC0hWYa0nv,social,junk_data
15-11-2025 14:48,BillingSystem,"nova.osapi_compute.wsgi.server [req-6fe0e366-f20b-454e-ade1-771deb7a911f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Status code -  200 len: 1893 time: 0.2608259",HTTP Status,bert,260,,LlBjbR80T3YrSROd,adwords,junk_data
27-01-2025 12:39,ModernCRM,"nova.osapi_compute.wsgi.server [req-5f1c2027-e1b0-43f1-b6d3-694f483a69be 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1893 time: 0.2732208",HTTP Status,bert,155,https://twitter.com,k2ByuSvVs3HG9cKM,adwords,junk_data
2/22/2025 17:49,ModernCRM,Account with ID 5351 created by User634.,User Action,regex,206,https://google.com,KorFCiurQiRtA9ea,newsletter,junk_data
10-07-2025 01:17,BillingSystem,"nova.osapi_compute.wsgi.server [req-945d1f31-a2e5-496a-a1da-21a0c88b6b61 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" HTTP status code -  200 len: 1893 time: 0.2775040",HTTP Status,bert,195,https://example.com,eRvicySlkIfcvQEY,social,junk_data
27-12-2025 12:52,ThirdPartyAPI,"nova.osapi_compute.wsgi.server [req-033d97b9-69e4-4acd-9029-f0d7b9370645 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -] 10.11.10.1 ""POST /v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events HTTP/1.1"" status: 404 len: 296 time: 0.0847020",HTTP Status,bert,217,https://example.com,8MT1erFnvqBeviuP,referral,junk_data
01-03-2025 19:16,ModernCRM,"nova.osapi_compute.wsgi.server [req-75bc6269-8527-4b6a-8925-67611b9e00d9 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1916 time: 0.2785730",HTTP Status,bert,138,https://twitter.com,ytZL9E5E1BueWY3B,adwords,junk_data
28-08-2025 03:54,ThirdPartyAPI,nova.compute.resource_tracker [req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -] Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB used_ram=512MB phys_disk=15GB used_disk=0GB total_vcpus=16 used_vcpus=0 pci_stats=[],Resource Usage,bert,27,https://linkedin.com,LPuF3fte1aYR0nUr,social,junk_data
01-09-2025 18:46,ModernHR,"nova.osapi_compute.wsgi.server [req-077c3c87-b7ff-46f8-8320-8fed200a0b94 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Status code -  200 len: 1893 time: 0.2517929",HTTP Status,bert,77,https://facebook.com,8BRKqE3V7EJkao3K,referral,junk_data
16-12-2025 23:18,ModernCRM,"nova.osapi_compute.wsgi.server [req-4e83daf7-a24c-4ab4-96ff-1da5848255ad 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1583 time: 0.1878400",HTTP Status,bert,147,https://facebook.com,S6HRWdV2WQgjuzx8,referral,junk_data
15-02-2025 09:00,AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-bfce366e-9868-4f52-b245-271e9b3455ca 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1583 time: 0.1962459",HTTP Status,bert,65,,NYcrm2MBpSReUFox,referral,junk_data
03-03-2025 17:11,ModernCRM,"nova.compute.claims [req-d6986b54-3735-4a42-9074-0ba7d9717de9 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: af5f7392-f7d4-4298-b647-c98924c64aa1] memory limit: 96258.00 MB, free: 95746.00 MB",Resource Usage,bert,57,https://example.com,KB5CPSQ5I0HwOQu2,social,junk_data
9/24/2025 19:57,ThirdPartyAPI,User User685 logged out.,User Action,regex,231,https://twitter.com,NWvwrl5gC51jw0Rf,social,junk_data
31-07-2025 07:47,AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-5e6e042b-f9e8-4ab4-add4-b4809623b13a 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Return code: 200 len: 1893 time: 0.2591050",HTTP Status,bert,17,https://twitter.com,1faIx8eFokBhR11C,organic,junk_data
03-10-2025 23:11,AnalyticsEngine,Alert: brute force login attempt from 192.168.80.114 detected,Security Alert,bert,162,https://example.com,jL9YAJmnh20QQmhb,newsletter,junk_data
4/26/2025 7:54,AnalyticsEngine,Backup started at 2025-05-14 07:06:55.,System Notification,regex,113,,SDpxeL0tv519bkTr,organic,junk_data
28-10-2025 00:49,ModernCRM,"nova.metadata.wsgi.server [-] 10.11.21.138,10.11.10.1 ""GET /openstack/2013-10-17 HTTP/1.1"" RCODE  200 len: 157 time: 0.0010941",HTTP Status,bert,136,https://linkedin.com,TxKGytPyR31aZfV8,referral,junk_data
5/29/2025 7:36,ModernCRM,Detection of multiple disk faults in RAID setup,Critical Error,bert,17,https://google.com,IpWBFjAOSjs8ePY1,organic,junk_data
06-10-2025 14:26,AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-fe9ef402-d3b4-4d8c-8093-17b49aba2993 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1893 time: 0.2738080",HTTP Status,bert,222,https://google.com,9mlvk7bhf7HYpWZA,newsletter,junk_data
9/30/2025 8:13,ThirdPartyAPI,Suspicious login activity detected from 192.168.24.250,Security Alert,bert,260,https://google.com,WCX19go8R0Hjdxjy,newsletter,junk_data
6/22/2025 0:22,ThirdPartyAPI,System component malfunction: component ID Component79,Critical Error,bert,19,https://linkedin.com,xOvvYoczHIPs5d67,social,junk_data
11/19/2025 13:14,BillingSystem,System reboot initiated by user User243.,System Notification,regex,286,https://twitter.com,7d4FtPpBhg3iqkOU,organic,junk_data
03-07-2025 17:18,ModernHR,"nova.metadata.wsgi.server [req-27e91939-3ba4-4d14-80e1-47d8fbb230ff - - - - -] 10.11.21.126,10.11.10.1 ""GET /latest/meta-data/block-device-mapping/root HTTP/1.1"" Status code -  200 len: 124 time: 0.2206309",HTTP Status,bert,32,https://facebook.com,TCS28lrjWQtnV5xJ,social,junk_data
8/19/2025 16:43,AnalyticsEngine,Denied access attempt on restricted account Account2682,Security Alert,bert,88,https://twitter.com,Vc1M9LzfxaT7ybD5,organic,junk_data
12-04-2025 08:10,ModernHR,"nova.osapi_compute.wsgi.server [req-aef59c8e-1f3c-4a10-8c3b-8e73c538f3ed 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1583 time: 0.1843870",HTTP Status,bert,27,https://twitter.com,44JCWlY8IsVJtmVT,organic,junk_data
19-06-2025 21:42,ThirdPartyAPI,"nova.compute.claims [req-72b4858f-049e-49e1-b31e-b562c5018eaf 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: 63a0d960-70b6-44c6-b606-491478a5cadf] disk limit not specified, defaulting to unlimited",Resource Usage,bert,69,https://example.com,TiuIWxutYXSTo8wh,organic,junk_data
01-04-2025 19:44,AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-3f4867ee-5402-4e7f-bf24-41c58b20e80b 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1893 time: 0.2732630",HTTP Status,bert,186,https://google.com,DM82JaZXjxeolPnw,adwords,junk_data
04-01-2025 16:42,ThirdPartyAPI,Boot process terminated unexpectedly due to kernel issue,Critical Error,bert,56,https://google.com,ZenLIfXN0CNJQZWs,social,junk_data
11/22/2025 11:06,BillingSystem,"Abnormal system behavior on server 40, potential security breach",Security Alert,bert,141,,KByN8jlYdDwqsLPM,newsletter,junk_data
6/20/2025 0:53,BillingSystem,Backup started at 2025-02-15 20:00:19.,System Notification,regex,296,,cRIp0YRPlu6EAw7K,referral,junk_data
5/22/2025 3:17,ThirdPartyAPI,Data replication task for shard 14 did not complete,Error,bert,265,https://twitter.com,lpLU8PpkOq8HTMjK,organic,junk_data
1/14/2025 4:46,ModernHR,User 7662 tried to bypass API security measures,Security Alert,bert,287,https://google.com,YNbc2pfgsmAjP69Y,newsletter,junk_data
25-03-2025 01:18,ModernCRM,"nova.osapi_compute.wsgi.server [req-4d05bae9-8a34-42b6-98be-991eae0f992c 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Return code: 200 len: 1874 time: 0.1925120",HTTP Status,bert,257,,5ullgj0KlyWMwsMU,social,junk_data
07-01-2025 09:43,ModernHR,File data_7366.csv uploaded successfully by user User282.,System Notification,regex,50,https://example.com,NudBOikF8IiBleFn,organic,junk_data
13-01-2025 20:36,ModernCRM,"nova.osapi_compute.wsgi.server [req-d5fd3b8a-3323-4f9f-9453-d74ab24c21d3 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/63a0d960-70b6-44c6-b606-491478a5cadf HTTP/1.1"" RCODE  200 len: 1708 time: 0.1946359",HTTP Status,bert,84,https://facebook.com,zKFCjg7FRa3jrfRG,newsletter,junk_data
1/16/2025 21:45,ThirdPartyAPI,System updated to version 3.9.1.,System Notification,regex,161,,ylBoglxGfjHuZiIj,social,junk_data
8/19/2025 5:58,ThirdPartyAPI,Server 4 restarted without warning during data migration,Error,bert,57,https://facebook.com,oifI5hJs1WOinQAD,newsletter,junk_data
11-12-2025 13:13,BillingSystem,Backup completed successfully.,System Notification,regex,225,https://example.com,bTljoERPUl5YaTlT,referral,junk_data
7/29/2025 0:17,ModernHR,Multiple login failures occurred on user 9052 account,Security Alert,bert,31,https://linkedin.com,7m44cEwYth7OwUD9,organic,junk_data
2/19/2025 2:00,AnalyticsEngine,Backup completed successfully.,System Notification,regex,180,https://google.com,ZONDelEtwPoiD57E,adwords,junk_data
6/18/2025 11:21,AnalyticsEngine,Server 34 crashed unexpectedly while syncing data,Error,bert,236,https://facebook.com,mEDLjzfuVhrZ7s3V,adwords,junk_data
17-11-2025 19:50,ModernCRM,"nova.osapi_compute.wsgi.server [req-86b60c9f-5825-4447-9b26-c90aa4eb5986 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Status code -  200 len: 1759 time: 0.2631650",HTTP Status,bert,220,https://twitter.com,I0997DxlPOxDTVPB,referral,junk_data
9/14/2025 3:03,AnalyticsEngine,User User395 logged in.,User Action,regex,214,https://example.com,0LaapVCQVZ68Feoo,adwords,junk_data
13-09-2025 14:45,AnalyticsEngine,"nova.compute.claims [req-5c8f52bd-8e3c-41f0-95a5-7861d247cafa 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: d96a117b-0193-4549-bdcc-63b917273d1d] vcpu limit not specified, defaulting to unlimited",Resource Usage,bert,43,https://facebook.com,RWJ9UjdLKDq4MrW8,referral,junk_data
07-05-2025 02:37,AnalyticsEngine,"nova.metadata.wsgi.server [-] 10.11.21.143,10.11.10.1 ""GET /latest/meta-data/block-device-mapping/root HTTP/1.1"" HTTP status code -  200 len: 124 time: 0.0009151",HTTP Status,bert,230,https://facebook.com,ye4UMaPDMCt1vYFA,newsletter,junk_data
06-10-2025 16:55,LegacyCRM,Lead conversion failed for prospect ID 7842 due to missing contact information.,Workflow Error,llm,252,https://google.com,pyI35Do5YRUT2j1y,referral,junk_data
27-04-2025 11:18,ThirdPartyAPI,"nova.compute.claims [req-d38f479d-9bb9-4276-9688-52607e8fd350 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: 95960536-049b-41f6-9049-05fc479b6a7c] disk limit not specified, defaulting to unlimited",Resource Usage,bert,207,https://example.com,gfbshOcKhij0W588,newsletter,junk_data
1/19/2025 13:55,ModernCRM,System configuration is no longer valid,Critical Error,bert,176,https://facebook.com,bPdoVVspQTAuDOPg,referral,junk_data
19-01-2025 16:01,ThirdPartyAPI,"nova.osapi_compute.wsgi.server [req-d6e9cfb8-d914-48c3-b677-72bc73329c69 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -] 10.11.10.1 ""POST /v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events HTTP/1.1"" Status code -  404 len: 296 time: 0.0934131",HTTP Status,bert,210,https://example.com,EPkjlGYZ8ZnM69Ku,newsletter,junk_data
20-06-2025 23:40,ModernHR,"nova.compute.claims [req-d82fab16-60f8-4c9f-bde8-f362f57bdd40 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] memory limit: 96258.00 MB, free: 95746.00 MB",Resource Usage,bert,163,https://twitter.com,T9TWNvVIvA7C0COp,adwords,junk_data
21-11-2025 01:36,BillingSystem,"nova.osapi_compute.wsgi.server [req-8c36e637-8e89-4cbe-813d-c5f46cc79818 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -] 10.11.10.1 ""POST /v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events HTTP/1.1"" status: 200 len: 380 time: 0.0919530",HTTP Status,bert,22,https://example.com,81QzLlP1SvSsXOO8,organic,junk_data
27-09-2025 19:27,AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-01d570b0-78a7-4719-b7a3-429fd7dc5a3f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""POST /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers HTTP/1.1"" Status code -  202 len: 733 time: 0.5130808",HTTP Status,bert,191,,gcaIACJ5BkoQHFX2,organic,junk_data
05-12-2025 02:50,ModernHR,Unauthorized login attempt on protected account Account5030,Security Alert,bert,123,https://example.com,y0i0SLK63tpyOB7A,social,junk_data
04-07-2025 11:38,AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-482e36cc-6ff0-4a18-a72e-0768a622100b 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Status code -  200 len: 1893 time: 0.2634540",HTTP Status,bert,180,https://facebook.com,Rv2oZiAGjGAyMb9Y,referral,junk_data
03-07-2025 02:30,ThirdPartyAPI,RAID array suffered multiple hard drive failures,Critical Error,bert,293,https://facebook.com,c0HLX3xQiSXR8YUU,organic,junk_data
30-09-2025 20:20,BillingSystem,"nova.osapi_compute.wsgi.server [req-0b7fefce-6f00-464a-969a-d6799e8bba35 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -] 10.11.10.1 ""POST /v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events HTTP/1.1"" Return code: 200 len: 380 time: 0.0926709",HTTP Status,bert,30,https://facebook.com,peOoR5ldFMYSImnX,social,junk_data
04-05-2025 12:52,BillingSystem,"nova.osapi_compute.wsgi.server [req-9174a757-0149-4e23-94ae-8e316c8ea14f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Return code: 200 len: 1910 time: 0.2539101",HTTP Status,bert,234,https://twitter.com,JRz4AjSwGReN7Bf8,adwords,junk_data
02-03-2025 05:35,AnalyticsEngine,User 7153 made multiple incorrect login attempts,Security Alert,bert,132,https://twitter.com,94TVo41G8og0nL6P,social,junk_data
02-05-2025 18:55,ModernHR,"nova.osapi_compute.wsgi.server [req-465fd6e6-5eda-4b3f-b35e-5d48f8fa1156 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" HTTP status code -  200 len: 1893 time: 0.2692790",HTTP Status,bert,257,https://linkedin.com,Jn9vvYUrKFazTfKp,adwords,junk_data
05-09-2025 21:18,BillingSystem,User 8300 made multiple incorrect login attempts,Security Alert,bert,59,https://google.com,36SXnsUVuSCRgvFn,organic,junk_data
13-04-2025 14:22,ModernCRM,"nova.metadata.wsgi.server [req-61196723-e034-487d-82e0-9cc159c8572c - - - - -] 10.11.21.123,10.11.10.1 ""GET /openstack/2013-10-17/vendor_data.json HTTP/1.1"" status: 200 len: 124 time: 0.2335150",HTTP Status,bert,25,,IBBNkoPsiixCnz1R,adwords,junk_data
01-04-2025 22:41,ModernCRM,Privilege elevation detected for user 5038,Security Alert,bert,77,https://google.com,AUmWId4OVxL3v6C5,social,junk_data
05-03-2025 13:39,AnalyticsEngine,Key system element crashed: element ID Component32,Critical Error,bert,51,https://google.com,ZGQjvJdVge6TyQhr,social,junk_data
26-12-2025 18:45,BillingSystem,"nova.osapi_compute.wsgi.server [req-767559d9-3156-4388-a6c3-feb6533e4e13 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2680290",HTTP Status,bert,232,https://twitter.com,8D1bkWP6foceZKLY,social,junk_data
05-11-2025 07:56,AnalyticsEngine,Attempt to access account Account3142 was not authorized,Security Alert,bert,295,https://example.com,LSpXmzE0Nf0Z5qis,social,junk_data
18-08-2025 19:17,ThirdPartyAPI,"nova.metadata.wsgi.server [req-7d3eeb2d-3948-433a-8002-d969d2f86863 - - - - -] 10.11.21.132,10.11.10.1 ""GET /openstack/2012-08-10/meta_data.json HTTP/1.1"" Return code: 200 len: 264 time: 0.2316251",HTTP Status,bert,120,https://linkedin.com,yW9qSlroaNR4FZOU,referral,junk_data
1/26/2025 8:48,ThirdPartyAPI,Backup completed successfully.,System Notification,regex,134,https://linkedin.com,IxSNRUkEIhGLGmI1,newsletter,junk_data
02-07-2025 11:40,BillingSystem,nova.compute.resource_tracker [req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -] Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB used_ram=2560MB phys_disk=15GB used_disk=20GB total_vcpus=16 used_vcpus=1 pci_stats=[],Resource Usage,bert,186,https://google.com,GhUqdVokIizmZMKW,adwords,junk_data
02-09-2025 15:09,ModernCRM,Backup completed successfully.,System Notification,regex,175,https://example.com,kZeTq16f589yQRwD,social,junk_data
28-10-2025 22:16,ModernHR,"nova.osapi_compute.wsgi.server [req-97f723ce-8b78-4bdd-9d45-f7fa2e7707de 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1893 time: 0.4219470",HTTP Status,bert,140,https://facebook.com,ATKrh691rzhDVMbw,newsletter,junk_data
3/13/2025 2:11,ModernHR,User User225 logged in.,User Action,regex,185,https://linkedin.com,QkD0ipB915bzhlyg,organic,junk_data
16-03-2025 15:09,BillingSystem,"nova.osapi_compute.wsgi.server [req-89a9360c-984b-4eea-b18f-619d5715cd1d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" HTTP status code -  200 len: 1893 time: 0.4072108",HTTP Status,bert,21,https://linkedin.com,W1PYnSdDUHTh0eLG,organic,junk_data
08-06-2025 17:41,ModernHR,API intrusion detection system flagged user 6771,Security Alert,bert,146,https://example.com,UERj01dSB6eQE2ud,adwords,junk_data
03-08-2025 19:04,AnalyticsEngine,User User494 logged out.,User Action,regex,105,https://example.com,qz1KFVALWBHYpoxN,newsletter,junk_data
09-09-2025 10:42,AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-78acc268-1d58-4b31-967a-c31e22012a78 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" HTTP status code -  200 len: 1893 time: 0.2668920",HTTP Status,bert,174,https://linkedin.com,jN6JzY9jF2Qh6kZ2,newsletter,junk_data
20-10-2025 00:39,ModernHR,"nova.osapi_compute.wsgi.server [req-84a068e2-7bf3-4fbf-b480-f41b090acc76 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/96abccce-8d1f-4e07-b6d1-4b2ab87e23b4 HTTP/1.1"" status: 200 len: 1708 time: 0.1917260",HTTP Status,bert,171,https://twitter.com,UETZpOZzrFYRcxFH,newsletter,junk_data
